Index,roll_number,batch_year,branch,student_name,gender,board_of_education,number_of_courses,pursuing_year,current_sem_pursuing,name_of_subjects_enrolled,grade_per_subject,extracurricular_activities,student_absence_days,Minor1,Minor 2,End Semester,cgpa,email
0,se16uai1,2016,Artificial Intelligence,aadesh,male,Other,7,1,1,English,F,Indoor Games,24,2.788354751,19.77612423,31.37014163,6.32,aadesh@gmail.com
0,se16uai1,2016,Artificial Intelligence,aadesh,male,Other,7,1,1,Chemistry,C+,Indoor Games,24,3.463231129,6.62689262,76.49853215,6.32,aadesh@gmail.com
0,se16uai1,2016,Artificial Intelligence,aadesh,male,Other,7,1,1,Electrical,A+,Indoor Games,24,11.40796096,18.44269654,62.41818434,6.32,aadesh@gmail.com
0,se16uai1,2016,Artificial Intelligence,aadesh,male,Other,7,1,1,French,B+,Indoor Games,24,17.10515668,7.794739732,56.03593957,6.32,aadesh@gmail.com
0,se16uai1,2016,Artificial Intelligence,aadesh,male,Other,7,1,1,Environmental Science,B,Indoor Games,24,20.63624366,22.83994146,23.81112787,6.32,aadesh@gmail.com
0,se16uai1,2016,Artificial Intelligence,aadesh,male,Other,7,1,1,Maths,B+,Indoor Games,24,19.13625575,17.19481423,58.54299582,6.32,aadesh@gmail.com
0,se16uai1,2016,Artificial Intelligence,aadesh,male,Other,7,1,1,Thermodynamics,B,Indoor Games,24,18.39874524,15.81262784,60.22590511,6.32,aadesh@gmail.com
9,se16uai10,2016,Artificial Intelligence,bilal,male,ICSE,7,1,1,Chemistry,C+,Social Services,27,27.5698672,28.85026093,8.951997824,8.86,bilal@gmail.com
9,se16uai10,2016,Artificial Intelligence,bilal,male,ICSE,7,1,1,English,A+,Social Services,27,16.90846526,11.74225367,22.90401136,8.86,bilal@gmail.com
9,se16uai10,2016,Artificial Intelligence,bilal,male,ICSE,7,1,1,Maths,A,Social Services,27,14.82084901,16.96797554,71.37425507,8.86,bilal@gmail.com
9,se16uai10,2016,Artificial Intelligence,bilal,male,ICSE,7,1,1,Electrical,F,Social Services,27,5.645013523,29.37176658,18.3987766,8.86,bilal@gmail.com
9,se16uai10,2016,Artificial Intelligence,bilal,male,ICSE,7,1,1,Environmental Science,D,Social Services,27,5.775706268,13.31170197,78.60321467,8.86,bilal@gmail.com
9,se16uai10,2016,Artificial Intelligence,bilal,male,ICSE,7,1,1,French,B,Social Services,27,10.49558045,18.57745309,26.06406693,8.86,bilal@gmail.com
9,se16uai10,2016,Artificial Intelligence,bilal,male,ICSE,7,1,1,Thermodynamics,C,Social Services,27,12.70346407,14.11971013,74.45710139,8.86,bilal@gmail.com
10,se16uai11,2016,Artificial Intelligence,bindu,male,CBSE,7,1,1,French,F,Research Work,10,20.80947916,10.55043736,56.01074735,5.44,bindu@gmail.com
10,se16uai11,2016,Artificial Intelligence,bindu,male,CBSE,7,1,1,Chemistry,A+,Research Work,10,18.93434892,11.47668271,7.048032582,5.44,bindu@gmail.com
10,se16uai11,2016,Artificial Intelligence,bindu,male,CBSE,7,1,1,Electrical,B+,Research Work,10,12.51518081,18.04173497,93.78326956,5.44,bindu@gmail.com
10,se16uai11,2016,Artificial Intelligence,bindu,male,CBSE,7,1,1,Environmental Science,C+,Research Work,10,28.66362788,22.40125458,80.17233028,5.44,bindu@gmail.com
10,se16uai11,2016,Artificial Intelligence,bindu,male,CBSE,7,1,1,English,C,Research Work,10,26.12135863,23.89966445,26.1726098,5.44,bindu@gmail.com
10,se16uai11,2016,Artificial Intelligence,bindu,male,CBSE,7,1,1,Thermodynamics,D,Research Work,10,18.74689227,15.92167782,82.41984379,5.44,bindu@gmail.com
10,se16uai11,2016,Artificial Intelligence,bindu,male,CBSE,7,1,1,Maths,B,Research Work,10,14.76314092,25.57982735,85.85085935,5.44,bindu@gmail.com
11,se16uai12,2016,Artificial Intelligence,daaud,male,Other,7,1,1,French,C,Indoor Games,0,18.55885995,11.36463683,25.91476605,6.8,daaud@gmail.com
11,se16uai12,2016,Artificial Intelligence,daaud,male,Other,7,1,1,Thermodynamics,A+,Indoor Games,0,5.868700605,17.76953415,3.089521242,6.8,daaud@gmail.com
11,se16uai12,2016,Artificial Intelligence,daaud,male,Other,7,1,1,Maths,A+,Indoor Games,0,4.1491797,21.52404101,13.55222552,6.8,daaud@gmail.com
11,se16uai12,2016,Artificial Intelligence,daaud,male,Other,7,1,1,Environmental Science,D,Indoor Games,0,9.182394781,17.76503899,33.39437922,6.8,daaud@gmail.com
11,se16uai12,2016,Artificial Intelligence,daaud,male,Other,7,1,1,Chemistry,F,Indoor Games,0,10.19517627,26.37128195,19.76887987,6.8,daaud@gmail.com
11,se16uai12,2016,Artificial Intelligence,daaud,male,Other,7,1,1,Electrical,B+,Indoor Games,0,11.97734466,21.9360945,17.37552402,6.8,daaud@gmail.com
11,se16uai12,2016,Artificial Intelligence,daaud,male,Other,7,1,1,English,B+,Indoor Games,0,20.91300786,1.344959019,50.47604519,6.8,daaud@gmail.com
12,se16uai13,2016,Artificial Intelligence,daksh,male,State,7,1,1,Electrical,F,Social Services,20,25.27674817,24.06401427,21.4772375,7,daksh@gmail.com
12,se16uai13,2016,Artificial Intelligence,daksh,male,State,7,1,1,French,B,Social Services,20,5.825980553,8.861226923,49.3444696,7,daksh@gmail.com
12,se16uai13,2016,Artificial Intelligence,daksh,male,State,7,1,1,English,D,Social Services,20,16.74903485,25.74275152,58.95826127,7,daksh@gmail.com
12,se16uai13,2016,Artificial Intelligence,daksh,male,State,7,1,1,Maths,A+,Social Services,20,4.423084958,9.626059667,56.82356199,7,daksh@gmail.com
12,se16uai13,2016,Artificial Intelligence,daksh,male,State,7,1,1,Thermodynamics,C,Social Services,20,4.882601356,24.47452023,70.86289523,7,daksh@gmail.com
12,se16uai13,2016,Artificial Intelligence,daksh,male,State,7,1,1,Chemistry,F,Social Services,20,22.48406843,5.233798358,43.62735688,7,daksh@gmail.com
12,se16uai13,2016,Artificial Intelligence,daksh,male,State,7,1,1,Environmental Science,A,Social Services,20,8.832228476,2.799633109,68.01554155,7,daksh@gmail.com
13,se16uai14,2016,Artificial Intelligence,deepka,female,Other,7,1,1,Thermodynamics,B,Social Services,13,6.552120157,28.79397797,50.05650557,8.46,deepka@gmail.com
13,se16uai14,2016,Artificial Intelligence,deepka,female,Other,7,1,1,Electrical,B,Social Services,13,4.478060024,27.39272925,82.64850689,8.46,deepka@gmail.com
13,se16uai14,2016,Artificial Intelligence,deepka,female,Other,7,1,1,Environmental Science,A+,Social Services,13,3.444615908,12.34784949,72.94127831,8.46,deepka@gmail.com
13,se16uai14,2016,Artificial Intelligence,deepka,female,Other,7,1,1,French,C,Social Services,13,13.28131835,10.79321478,9.212487891,8.46,deepka@gmail.com
13,se16uai14,2016,Artificial Intelligence,deepka,female,Other,7,1,1,Maths,F,Social Services,13,16.19023945,1.29006315,86.78567346,8.46,deepka@gmail.com
13,se16uai14,2016,Artificial Intelligence,deepka,female,Other,7,1,1,Chemistry,A,Social Services,13,27.25675446,25.46589252,19.78237668,8.46,deepka@gmail.com
13,se16uai14,2016,Artificial Intelligence,deepka,female,Other,7,1,1,English,A,Social Services,13,9.641458729,5.088107126,26.32707572,8.46,deepka@gmail.com
14,se16uai15,2016,Artificial Intelligence,devinder,male,Other,7,1,1,Chemistry,F,Others,4,17.12350907,8.498508579,94.0539462,4.88,devinder@gmail.com
14,se16uai15,2016,Artificial Intelligence,devinder,male,Other,7,1,1,Electrical,C,Others,4,25.64993996,3.246491264,63.26890343,4.88,devinder@gmail.com
