Index,roll_number,batch_year,branch,student_name,gender,board_of_education,pursuing_year,extracurricular_activities,student_absence_days,cgpa,email
0,se18uce1,2018,Civil,Aabid,male,Other,10,Research Work,10,4.25,aabid@gmail.com
0,se20ucse1,2020,Computer Science,aachal,female,Other,3,Outdoor Games,9,9.48,aachal@gmail.com
0,se16uai1,2016,Artificial Intelligence,aadesh,male,Other,10,Indoor Games,24,6.32,aadesh@gmail.com
0,se21uai1,2021,Artificial Intelligence,aadil,male,State,2,Social Services,16,5.66,aadil@gmail.com
0,se22ucm1,2022,Computational Mathematics,aadish,male,Other,1,Others,20,8.69,aadish@gmail.com
0,se18uece1,2018,Electronics and Communication,aafrin,female,Other,10,Others,9,8.46,aafrin@gmail.com
0,se19ume1,2019,Mechanical,aaftab,male,CBSE,4,Research Work,26,6.18,aaftab@gmail.com
0,se22ucse1,2022,Computer Science,aagand,male,ICSE,1,Research Work,8,4.39,aagand@gmail.com
0,se19ucm1,2019,Computational Mathematics,aajiv,male,ICSE,4,Indoor Games,28,6.34,aajiv@gmail.com
0,se17ume1,2017,Mechanical,aakanksha,female,Other,10,Others,22,5.13,aakanksha@gmail.com
0,se19ueee1,2019,Electrical and Electronics,aakash,male,ICSE,4,Outdoor Games,18,7.3,aakash@gmail.com
0,se17uece1,2017,Electronics and Communication,aalam,male,State,10,Outdoor Games,10,9,aalam@gmail.com
0,se20uece1,2020,Electronics and Communication,aalina,female,State,3,Indoor Games,20,6.71,aalina@gmail.com
0,se18ucm1,2018,Computational Mathematics,aaliya,female,State,10,Indoor Games,23,9.91,aaliya@gmail.com
0,se16uece1,2016,Electronics and Communication,aamina,female,State,10,Social Services,23,9.06,aamina@gmail.com
0,se21ueee1,2021,Electrical and Electronics,aamir,male,Other,2,Social Services,24,8.74,aamir@gmail.com
0,se22uece1,2022,Electronics and Communication,aaradhana,female,State,1,Club Activities,21,6.42,aaradhana@gmail.com
0,se16ucm1,2016,Computational Mathematics,aarati,female,CBSE,10,Others,14,6.49,aarati@gmail.com
0,se22ueee1,2022,Electrical and Electronics,aarav,male,ICSE,1,Outdoor Games,6,7.15,aarav@gmail.com
0,se19uece1,2019,Electronics and Communication,aardhna,female,Other,4,Indoor Games,15,8.24,aardhna@gmail.com
0,se16uce1,2016,Civil,aarif,female,ICSE,10,Social Services,9,6.69,aarif@gmail.com
0,se17ucse1,2017,Computer Science,aarju,female,State,10,Research Work,6,5.16,aarju@gmail.com
0,se16ueee1,2016,Electrical and Electronics,aarti,male,State,10,Social Services,24,9.01,aarti@gmail.com
0,se21ucse1,2021,Computer Science,aarushi,female,Other,2,Outdoor Games,8,9.2,aarushi@gmail.com
0,se20ume1,2020,Mechanical,aashi,female,CBSE,3,Outdoor Games,1,9.73,aashi@gmail.com
0,se22uai1,2022,Artificial Intelligence,aashik,male,ICSE,1,Club Activities,10,9.08,aashik@gmail.com
0,se20uai1,2020,Artificial Intelligence,aashu,male,ICSE,3,Indoor Games,4,6.24,aashu@gmail.com
0,se22ume1,2022,Mechanical,aashu,female,CBSE,1,Social Services,27,8.1,aashu@gmail.com
0,se17ucm1,2017,Computational Mathematics,aasim,male,CBSE,10,Others,26,8.46,aasim@gmail.com
0,se21uce1,2021,Civil,aasma,female,CBSE,2,Research Work,11,9.37,aasma@gmail.com
0,se21ume1,2021,Mechanical,aaysha,female,ICSE,2,Club Activities,7,4.1,aaysha@gmail.com
0,se17uce1,2017,Civil,aazad,male,CBSE,10,Outdoor Games,20,5.85,aazad@gmail.com
0,se20ueee1,2020,Electrical and Electronics,abbas,male,Other,3,Outdoor Games,2,9.01,abbas@gmail.com
0,se20uce1,2020,Civil,abdulla,male,CBSE,3,Social Services,20,4.31,abdulla@gmail.com
0,se21uece1,2021,Electronics and Communication,abhaki,female,CBSE,2,Research Work,26,7.6,abhaki@gmail.com
0,se22uce1,2022,Civil,abhijeet,male,Other,1,Others,30,4.99,abhijeet@gmail.com
0,se16ume1,2016,Mechanical,abhilasha,female,Other,10,Club Activities,15,4.34,abhilasha@gmail.com
0,se18ucse1,2018,Computer Science,abhinay,male,CBSE,10,Social Services,27,6.83,abhinay@gmail.com
0,se19uce1,2019,Civil,abhishak,male,ICSE,4,Others,26,8.48,abhishak@gmail.com
0,se17uai1,2017,Artificial Intelligence,adan,male,ICSE,10,Indoor Games,24,6.65,adan@gmail.com
0,se18ume1,2018,Mechanical,adil,male,CBSE,10,Club Activities,3,6.36,adil@gmail.com
0,se18ueee1,2018,Electrical and Electronics,aditya,male,Other,10,Outdoor Games,26,5.95,aditya@gmail.com
0,se21ucm1,2021,Computational Mathematics,adnan,male,Other,2,Outdoor Games,9,6.6,adnan@gmail.com
0,se17ueee1,2017,Electrical and Electronics,adrash,male,CBSE,10,Others,29,4.5,adrash@gmail.com
0,se18uai1,2018,Artificial Intelligence,afarin,female,State,10,Outdoor Games,19,9.08,afarin@gmail.com
0,se19uai1,2019,Artificial Intelligence,afrin,female,ICSE,4,Others,9,9.84,afrin@gmail.com
0,se20ucm1,2020,Computational Mathematics,afroz,female,State,3,Research Work,24,4.35,afroz@gmail.com
0,se16ucse1,2016,Computer Science,afshar,male,State,10,Research Work,18,6.69,afshar@gmail.com
0,se19ucse1,2019,Computer Science,ajeet,male,CBSE,4,Club Activities,23,9.27,ajeet@gmail.com
1,se16uai2,2016,Artificial Intelligence,aafreen,female,State,10,Indoor Games,12,9.27,aafreen@gmail.com
1,se22ucse2,2022,Computer Science,aahim,male,Other,1,Outdoor Games,6,7.35,aahim@gmail.com
1,se18uce2,2018,Civil,aamil,male,CBSE,10,Research Work,13,7.95,aamil@gmail.com
1,se20ucse2,2020,Computer Science,aamin,male,ICSE,3,Others,14,6.34,aamin@gmail.com
1,se18uece2,2018,Electronics and Communication,aanand,male,State,10,Outdoor Games,5,4.97,aanand@gmail.com
1,se18ucm2,2018,Computational Mathematics,aanchal,female,ICSE,10,Research Work,30,7.47,aanchal@gmail.com
1,se17ume2,2017,Mechanical,aansu,male,State,10,Others,29,5.14,aansu@gmail.com
1,se21ueee2,2021,Electrical and Electronics,aarif,male,State,2,Others,17,7.58,aarif@gmail.com
1,se22ucm2,2022,Computational Mathematics,aasha,female,Other,1,Others,5,7.08,aasha@gmail.com
1,se20uece2,2020,Electronics and Communication,aashif,male,ICSE,3,Research Work,19,6.11,aashif@gmail.com
1,se16ucm2,2016,Computational Mathematics,aashis,male,State,10,Outdoor Games,11,4.79,aashis@gmail.com
1,se22uai2,2022,Artificial Intelligence,aashiya,female,State,1,Social Services,0,6.12,aashiya@gmail.com
1,se22uece2,2022,Electronics and Communication,aasif,male,CBSE,1,Outdoor Games,0,6.54,aasif@gmail.com
1,se17uece2,2017,Electronics and Communication,aasmin,female,ICSE,10,Others,12,8.68,aasmin@gmail.com
1,se19ucm2,2019,Computational Mathematics,aasto,male,CBSE,4,Indoor Games,10,9.99,aasto@gmail.com
1,se19ume2,2019,Mechanical,aayana,female,State,4,Outdoor Games,25,9.7,aayana@gmail.com
1,se22ueee2,2022,Electrical and Electronics,abdullah,male,CBSE,1,Research Work,1,7.08,abdullah@gmail.com
1,se20ume2,2020,Mechanical,abhaysingh,male,State,3,Social Services,20,5.55,abhaysingh@gmail.com
1,se21ucse2,2021,Computer Science,abhi,male,Other,2,Indoor Games,14,5.5,abhi@gmail.com
1,se20ueee2,2020,Electrical and Electronics,abhimanyu,male,Other,3,Research Work,19,4.16,abhimanyu@gmail.com
1,se20uai2,2020,Artificial Intelligence,abhinav,male,CBSE,3,Indoor Games,9,4.01,abhinav@gmail.com
1,se16uce2,2016,Civil,abrar,male,ICSE,10,Indoor Games,10,6.12,abrar@gmail.com
1,se19uece2,2019,Electronics and Communication,adalat,male,ICSE,4,Social Services,28,5.34,adalat@gmail.com
1,se16ueee2,2016,Electrical and Electronics,adiba,female,CBSE,10,Social Services,27,9.94,adiba@gmail.com
1,se22ume2,2022,Mechanical,afrina,female,ICSE,1,Others,27,7.87,afrina@gmail.com
1,se17ucse2,2017,Computer Science,afsana,female,ICSE,10,Outdoor Games,20,4.88,afsana@gmail.com
1,se18ucse2,2018,Computer Science,afshana,female,Other,10,Research Work,19,6.01,afshana@gmail.com
1,se21ume2,2021,Mechanical,ahmad,male,State,2,Club Activities,16,6.31,ahmad@gmail.com
1,se18ueee2,2018,Electrical and Electronics,aidtya,male,Other,10,Indoor Games,0,6.56,aidtya@gmail.com
1,se20ucm2,2020,Computational Mathematics,ajara,female,CBSE,3,Others,22,6.91,ajara@gmail.com
1,se16uece2,2016,Electronics and Communication,ajim,male,State,10,Indoor Games,25,5.64,ajim@gmail.com
1,se19uai2,2019,Artificial Intelligence,ajmal,female,CBSE,4,Indoor Games,6,4.92,ajmal@gmail.com
1,se19ucse2,2019,Computer Science,ajman,male,ICSE,4,Outdoor Games,4,9.33,ajman@gmail.com
1,se18uai2,2018,Artificial Intelligence,akash,female,CBSE,10,Others,14,5.03,akash@gmail.com
1,se19ueee2,2019,Electrical and Electronics,akash,male,CBSE,4,Others,15,7.28,akash@gmail.com
1,se21uai2,2021,Artificial Intelligence,akhileshwer,male,Other,2,Research Work,0,8.78,akhileshwer@gmail.com
1,se17ucm2,2017,Computational Mathematics,akib,male,ICSE,10,Research Work,13,7.38,akib@gmail.com
1,se16ume2,2016,Mechanical,akram,female,Other,10,Others,12,9.58,akram@gmail.com
1,se21uce2,2021,Civil,akshita,female,Other,2,Others,11,7.8,akshita@gmail.com
1,se18ume2,2018,Mechanical,akshpaat,male,CBSE,10,Research Work,29,8.63,akshpaat@gmail.com
1,se21uece2,2021,Electronics and Communication,alam,male,ICSE,2,Indoor Games,30,9.6,alam@gmail.com
1,se21ucm2,2021,Computational Mathematics,alis,female,CBSE,2,Indoor Games,10,7.42,alis@gmail.com
1,se17ueee2,2017,Electrical and Electronics,amarjit,male,ICSE,10,Others,30,7.32,amarjit@gmail.com
1,se19uce2,2019,Civil,amba,female,Other,4,Club Activities,29,5.44,amba@gmail.com
1,se17uai2,2017,Artificial Intelligence,amita,female,State,10,Research Work,2,5.39,amita@gmail.com
1,se20uce2,2020,Civil,amrudin,male,CBSE,3,Social Services,0,6.2,amrudin@gmail.com
1,se16ucse2,2016,Computer Science,anandwati,female,Other,10,Others,6,5.13,anandwati@gmail.com
1,se22uce2,2022,Civil,anno,female,CBSE,1,Research Work,3,8.07,anno@gmail.com
1,se17uce2,2017,Civil,anuraj,male,State,10,Research Work,6,8.78,anuraj@gmail.com
2,se18uce3,2018,Civil,aarti,female,CBSE,10,Outdoor Games,24,6.73,aarti@gmail.com
2,se20ucse3,2020,Computer Science,aashish,male,ICSE,3,Others,9,8.71,aashish@gmail.com
2,se18ucm3,2018,Computational Mathematics,aasu,female,CBSE,10,Research Work,10,4.86,aasu@gmail.com
2,se19ucm3,2019,Computational Mathematics,aatif,male,ICSE,4,Research Work,4,5.38,aatif@gmail.com
2,se22ucse3,2022,Computer Science,aatikun,female,ICSE,1,Club Activities,4,5.43,aatikun@gmail.com
2,se21ueee3,2021,Electrical and Electronics,aayush,male,CBSE,2,Outdoor Games,17,6.89,aayush@gmail.com
2,se22uai3,2022,Artificial Intelligence,abdul,male,ICSE,1,Others,14,5.1,abdul@gmail.com
2,se16uai3,2016,Artificial Intelligence,abhay,male,CBSE,10,Club Activities,28,9.4,abhay@gmail.com
2,se19ume3,2019,Mechanical,abhinandan,male,Other,4,Social Services,8,5.65,abhinandan@gmail.com
2,se17ume3,2017,Mechanical,abhishekh,male,Other,10,Research Work,15,5.1,abhishekh@gmail.com
2,se20uece3,2020,Electronics and Communication,abid,male,Other,3,Outdoor Games,6,5.71,abid@gmail.com
2,se16ucm3,2016,Computational Mathematics,abida,female,Other,10,Research Work,26,7.45,abida@gmail.com
2,se17uece3,2017,Electronics and Communication,aditi,female,State,10,Indoor Games,15,5.53,aditi@gmail.com
2,se20ume3,2020,Mechanical,aesha,female,CBSE,3,Outdoor Games,22,4.84,aesha@gmail.com
2,se18uece3,2018,Electronics and Communication,afjal,male,Other,10,Others,4,6.21,afjal@gmail.com
2,se16ueee3,2016,Electrical and Electronics,afridi,male,ICSE,10,Social Services,20,8.03,afridi@gmail.com
2,se21ucse3,2021,Computer Science,afsari,female,ICSE,2,Outdoor Games,6,5.36,afsari@gmail.com
2,se22ucm3,2022,Computational Mathematics,afsha,female,CBSE,1,Social Services,13,7.56,afsha@gmail.com
2,se22ume3,2022,Mechanical,aftab,male,ICSE,1,Club Activities,10,7.34,aftab@gmail.com
2,se20ueee3,2020,Electrical and Electronics,aishwarya,female,ICSE,3,Outdoor Games,27,4.97,aishwarya@gmail.com
2,se17ucse3,2017,Computer Science,ajahar,male,State,10,Others,4,8.38,ajahar@gmail.com
2,se18ucse3,2018,Computer Science,ajit,male,ICSE,10,Club Activities,26,7.7,ajit@gmail.com
2,se18ueee3,2018,Electrical and Electronics,akeel,male,ICSE,10,Outdoor Games,1,8.68,akeel@gmail.com
2,se16uce3,2016,Civil,akheelesh,male,State,10,Club Activities,11,4.58,akheelesh@gmail.com
2,se21ume3,2021,Mechanical,akhilesh,male,ICSE,2,Social Services,10,8.92,akhilesh@gmail.com
2,se16uece3,2016,Electronics and Communication,akshit,male,ICSE,10,Social Services,30,9.2,akshit@gmail.com
2,se19uai3,2019,Artificial Intelligence,alahbasri,female,Other,4,Others,19,7.57,alahbasri@gmail.com
2,se22ueee3,2022,Electrical and Electronics,ali,male,Other,1,Club Activities,6,8.25,ali@gmail.com
2,se18ume3,2018,Mechanical,alisha,female,CBSE,10,Club Activities,23,9.86,alisha@gmail.com
2,se21uai3,2021,Artificial Intelligence,alka,female,Other,2,Indoor Games,27,7.93,alka@gmail.com
2,se19uece3,2019,Electronics and Communication,alkesh,female,ICSE,4,Social Services,20,5.68,alkesh@gmail.com
2,se17ucm3,2017,Computational Mathematics,alok,male,ICSE,10,Indoor Games,7,5.59,alok@gmail.com
2,se22uece3,2022,Electronics and Communication,alseepa,female,State,1,Social Services,22,9.22,alseepa@gmail.com
2,se21ucm3,2021,Computational Mathematics,altmash,male,ICSE,2,Research Work,0,9.08,altmash@gmail.com
2,se19ucse3,2019,Computer Science,amana,female,ICSE,4,Others,8,5.16,amana@gmail.com
2,se21uce3,2021,Civil,amar,male,Other,2,Others,2,6.55,amar@gmail.com
2,se21uece3,2021,Electronics and Communication,amarapal,male,ICSE,2,Club Activities,30,7.28,amarapal@gmail.com
2,se19ueee3,2019,Electrical and Electronics,amardeep,male,CBSE,4,Club Activities,23,6.18,amardeep@gmail.com
2,se20uai3,2020,Artificial Intelligence,amijan,female,State,3,Club Activities,10,7.16,amijan@gmail.com
2,se20ucm3,2020,Computational Mathematics,amir,male,Other,3,Research Work,0,4.69,amir@gmail.com
2,se19uce3,2019,Civil,amratalal,male,ICSE,4,Outdoor Games,3,4.85,amratalal@gmail.com
2,se17ueee3,2017,Electrical and Electronics,amritha,female,CBSE,10,Club Activities,25,9.07,amritha@gmail.com
2,se17uai3,2017,Artificial Intelligence,amrooti,female,Other,10,Indoor Games,8,5.03,amrooti@gmail.com
2,se20uce3,2020,Civil,anash,male,ICSE,3,Research Work,3,6.27,anash@gmail.com
2,se18uai3,2018,Artificial Intelligence,anjali,female,CBSE,10,Indoor Games,1,8.63,anjali@gmail.com
2,se16ucse3,2016,Computer Science,ankaj,male,CBSE,10,Club Activities,24,5.42,ankaj@gmail.com
2,se16ume3,2016,Mechanical,anoop,male,ICSE,10,Social Services,18,9.38,anoop@gmail.com
2,se22uce3,2022,Civil,anzum,female,State,1,Outdoor Games,21,6.96,anzum@gmail.com
2,se17uce3,2017,Civil,arsi,female,Other,10,Social Services,26,8.95,arsi@gmail.com
3,se18uce4,2018,Civil,aashma,female,Other,10,Social Services,19,8.02,aashma@gmail.com
3,se19ucm4,2019,Computational Mathematics,abhisek,male,Other,4,Outdoor Games,26,8.24,abhisek@gmail.com
3,se19ume4,2019,Mechanical,abhisekh,male,State,4,Indoor Games,11,7.63,abhisekh@gmail.com
3,se16ucm4,2016,Computational Mathematics,adarsh,male,State,10,Others,2,8.51,adarsh@gmail.com
3,se16uai4,2016,Artificial Intelligence,adersen,male,State,10,Indoor Games,21,8.33,adersen@gmail.com
3,se22uai4,2022,Artificial Intelligence,adisan,male,CBSE,1,Indoor Games,8,5.37,adisan@gmail.com
3,se20uece4,2020,Electronics and Communication,aditi,male,Other,3,Research Work,30,5.33,aditi@gmail.com
3,se20ucse4,2020,Computer Science,affan,male,ICSE,3,Others,29,8.87,affan@gmail.com
3,se20ume4,2020,Mechanical,afzal,male,ICSE,3,Social Services,25,4.51,afzal@gmail.com
3,se22ume4,2022,Mechanical,ahsan,male,State,1,Social Services,13,4.46,ahsan@gmail.com
3,se18ucm4,2018,Computational Mathematics,ahupendra,male,Other,10,Social Services,23,7.98,ahupendra@gmail.com
3,se18uece4,2018,Electronics and Communication,ajay,male,ICSE,10,Club Activities,4,9.94,ajay@gmail.com
3,se17ucse4,2017,Computer Science,ajmer,male,ICSE,10,Research Work,0,9.68,ajmer@gmail.com
3,se21ueee4,2021,Electrical and Electronics,akhtar,male,ICSE,2,Indoor Games,13,8.97,akhtar@gmail.com
3,se16ueee4,2016,Electrical and Electronics,akhtari,female,State,10,Outdoor Games,23,6.81,akhtari@gmail.com
3,se18ucse4,2018,Computer Science,akilesh,male,Other,10,Club Activities,13,6.45,akilesh@gmail.com
3,se22ucse4,2022,Computer Science,akkash,male,State,1,Indoor Games,28,9.05,akkash@gmail.com
3,se20ueee4,2020,Electrical and Electronics,akkni,male,State,3,Research Work,29,4.42,akkni@gmail.com
3,se16uce4,2016,Civil,alapna,female,CBSE,10,Research Work,22,5.52,alapna@gmail.com
3,se17uece4,2017,Electronics and Communication,aliya,female,State,10,Club Activities,0,9.52,aliya@gmail.com
3,se19uai4,2019,Artificial Intelligence,altab,male,Other,4,Others,8,5.28,altab@gmail.com
3,se18ume4,2018,Mechanical,altaf,male,Other,10,Social Services,7,8.3,altaf@gmail.com
3,se19uece4,2019,Electronics and Communication,aman,male,ICSE,4,Club Activities,14,5.11,aman@gmail.com
3,se19ucse4,2019,Computer Science,amandeep,male,State,4,Indoor Games,12,7.04,amandeep@gmail.com
3,se19ueee4,2019,Electrical and Electronics,amarjeet,male,CBSE,4,Outdoor Games,11,4.79,amarjeet@gmail.com
3,se22uece4,2022,Electronics and Communication,amarnath,male,Other,1,Others,17,9.77,amarnath@gmail.com
3,se21ucse4,2021,Computer Science,amit,male,State,2,Social Services,3,4.52,amit@gmail.com
3,se21uai4,2021,Artificial Intelligence,amkit,male,CBSE,2,Indoor Games,21,4.88,amkit@gmail.com
3,se16uece4,2016,Electronics and Communication,amot,male,CBSE,10,Outdoor Games,6,5.25,amot@gmail.com
3,se21ucm4,2021,Computational Mathematics,amreen,female,Other,2,Club Activities,6,9.4,amreen@gmail.com
3,se18ueee4,2018,Electrical and Electronics,amreeta,female,State,10,Research Work,23,5.19,amreeta@gmail.com
3,se17ueee4,2017,Electrical and Electronics,anamika,female,CBSE,10,Indoor Games,15,7.95,anamika@gmail.com
3,se20uai4,2020,Artificial Intelligence,anchal,female,ICSE,3,Indoor Games,17,7.39,anchal@gmail.com
3,se17ume4,2017,Mechanical,anirudh,male,State,10,Indoor Games,5,7.95,anirudh@gmail.com
3,se17ucm4,2017,Computational Mathematics,anish,male,State,10,Research Work,15,5.91,anish@gmail.com
3,se20ucm4,2020,Computational Mathematics,anita,female,Other,3,Research Work,8,9.39,anita@gmail.com
3,se17uai4,2017,Artificial Intelligence,annu,female,ICSE,10,Research Work,2,8.62,annu@gmail.com
3,se21uce4,2021,Civil,anoopama,female,CBSE,2,Club Activities,17,4.53,anoopama@gmail.com
3,se16ucse4,2016,Computer Science,anubhav,male,State,10,Outdoor Games,12,9.71,anubhav@gmail.com
3,se20uce4,2020,Civil,anupam,male,ICSE,3,Outdoor Games,18,8.87,anupam@gmail.com
3,se22ucm4,2022,Computational Mathematics,arati,female,CBSE,1,Others,3,9.71,arati@gmail.com
3,se18uai4,2018,Artificial Intelligence,archna,male,State,10,Research Work,23,9.8,archna@gmail.com
3,se21uece4,2021,Electronics and Communication,arjun,male,Other,2,Club Activities,6,4.2,arjun@gmail.com
3,se19uce4,2019,Civil,arshi,female,State,4,Indoor Games,3,5.04,arshi@gmail.com
3,se16ume4,2016,Mechanical,aru,male,ICSE,10,Club Activities,13,7.53,aru@gmail.com
3,se17uce4,2017,Civil,asharam,male,State,10,Social Services,3,9.65,asharam@gmail.com
3,se22uce4,2022,Civil,ashmi,female,Other,1,Club Activities,8,9.01,ashmi@gmail.com
3,se22ueee4,2022,Electrical and Electronics,ashmin,female,ICSE,1,Indoor Games,0,5.37,ashmin@gmail.com
3,se21ume4,2021,Mechanical,avdhesh,male,CBSE,2,Outdoor Games,9,8.38,avdhesh@gmail.com
4,se19ucm5,2019,Computational Mathematics,abhishek,male,CBSE,4,Outdoor Games,15,6.7,abhishek@gmail.com
4,se16uai5,2016,Artificial Intelligence,adi,male,State,10,Outdoor Games,28,7.29,adi@gmail.com
4,se16ucm5,2016,Computational Mathematics,ahamad,male,State,10,Indoor Games,28,8.67,ahamad@gmail.com
4,se18uece5,2018,Electronics and Communication,ajaypal,male,CBSE,10,Indoor Games,13,4.87,ajaypal@gmail.com
4,se22ume5,2022,Mechanical,akansha,female,Other,1,Social Services,18,9.58,akansha@gmail.com
4,se19ume5,2019,Mechanical,akbar,male,Other,4,Outdoor Games,29,5.83,akbar@gmail.com
4,se18ucm5,2018,Computational Mathematics,akil,male,Other,10,Club Activities,29,6.52,akil@gmail.com
4,se17ucse5,2017,Computer Science,alaudin,male,ICSE,10,Research Work,21,5.37,alaudin@gmail.com
4,se20uece5,2020,Electronics and Communication,aleesha,female,State,3,Social Services,10,5.67,aleesha@gmail.com
4,se20ucse5,2020,Computer Science,alhamdi,female,CBSE,3,Others,25,9.66,alhamdi@gmail.com
4,se18ucse5,2018,Computer Science,alim,male,Other,10,Outdoor Games,6,8.23,alim@gmail.com
4,se21ueee5,2021,Electrical and Electronics,allauddin,male,ICSE,2,Research Work,28,6.52,allauddin@gmail.com
4,se22uai5,2022,Artificial Intelligence,almina,female,ICSE,1,Club Activities,7,9.59,almina@gmail.com
4,se18ume5,2018,Mechanical,aman,female,ICSE,10,Research Work,7,5.2,aman@gmail.com
4,se20ueee5,2020,Electrical and Electronics,amarchand,male,CBSE,3,Research Work,27,9.79,amarchand@gmail.com
4,se22ucse5,2022,Computer Science,ambika,female,CBSE,1,Social Services,30,9.82,ambika@gmail.com
4,se19uece5,2019,Electronics and Communication,ambiya,female,CBSE,4,Outdoor Games,5,7.71,ambiya@gmail.com
4,se16ueee5,2016,Electrical and Electronics,ameen,male,CBSE,10,Indoor Games,0,4.53,ameen@gmail.com
4,se19ueee5,2019,Electrical and Electronics,amri,female,ICSE,4,Others,25,4.88,amri@gmail.com
4,se16uece5,2016,Electronics and Communication,amrin,female,CBSE,10,Outdoor Games,25,9.31,amrin@gmail.com
4,se16uce5,2016,Civil,amrita,female,Other,10,Social Services,0,5.37,amrita@gmail.com
4,se22uece5,2022,Electronics and Communication,amuda,female,Other,1,Research Work,0,5.36,amuda@gmail.com
4,se18uce5,2018,Civil,anadi,female,State,10,Others,24,9.99,anadi@gmail.com
4,se21ucm5,2021,Computational Mathematics,aneeta,female,Other,2,Outdoor Games,22,6.32,aneeta@gmail.com
4,se17ume5,2017,Mechanical,anjana,female,State,10,Others,14,4.79,anjana@gmail.com
4,se21uai5,2021,Artificial Intelligence,anjum,female,Other,2,Indoor Games,9,4.3,anjum@gmail.com
4,se19uai5,2019,Artificial Intelligence,anjuman,female,CBSE,4,Others,14,5.83,anjuman@gmail.com
4,se18ueee5,2018,Electrical and Electronics,ankit,male,State,10,Outdoor Games,0,4.48,ankit@gmail.com
4,se20ume5,2020,Mechanical,ankita,female,CBSE,3,Indoor Games,29,4.83,ankita@gmail.com
4,se17ucm5,2017,Computational Mathematics,anmol,male,Other,10,Outdoor Games,23,9.5,anmol@gmail.com
4,se21uce5,2021,Civil,anshum,male,ICSE,2,Others,13,4.73,anshum@gmail.com
